VINYORK LEATHER WORKS,,,,
HARDWARE MATERIALS,,,,
RACK NO,MATERIAL NAME,QTY,UAM,CLOSING STOCK
111,111-926-DÉCOR NAIL GOLD CL,0,NOS,1500
112,112-NATUZZI RECLINER,0,NOS,2
113,113-RECLINER SWIVEL BASE,0,NOS,2
114,114-L618 LEG GOLD,0,NOS,52
115,115-TOUCH SENSOR SWITCH,2,NOS,10
116,116-MEITE FRAME GUN N851H,0,NOS,1
117,117-OKINWOOD TO FLOOR 568D RECLINER,0,NOS,4
118,118-ZIP RUNNER #5-SILVER COLOR,0,NOS,600
119,119-WHITE BIG ROPE,0,NOS,3
120,"120-I-HITESH0"" HINGES FAST MOVER",,NOS,0
121,121-ZIP LOOSE ROLLS COL:BLACK,,ROLL,10
122,122-5MM ROPE=PIPING DORI,,KGS,13
123,123-769-PUSH CUP HOLDER BLACK,,NOS,0
124,124-18MM PLYWOOD,,NOS,60
125,125-12MM PLYWOOD,,NOS,60
126,126-8MM HOT BOARD,,NOS,60
127,127-C-HEADREST STRAIGHT (KF),,NOS,100
128,128-C-SOFA ROTATER-545 BLACK(KF),,NOS,3
129,129-WHITE PINE WOOD-3HT-25*98MM,,NOS,476
130,130-SKY HT S4S LUMBER PINE WOOD-38*140*2440MM,,NOS,680
131,131-C-JYF-301 SOFA COMBED MECHANISM(CBM-20)KF,,NOS,0
132,0,,NOS,0
133,133-WIRELESS CHARGER,,NOS,5
134,134-GOLD BUTTON,,NOS,216
135,135-BINDING WIRE,,ROLL,4
136,136-PATTEN SHEET ROLL ,,ROLL,2
137,137-9713D-OKIN MATEL TO FLOOR,,NOS,4
138,138-ROYALTAN LEG GOLD,,NOS,49
139,139-STATIONARY-BIG STAR BIT,,NOS,6
140,140-STATIONARY-SMALL STAR BIT,,NOS,51
141,141-STATIONARY-5 mm DRILL BIT,,NOS,7
142,142-STATIONARY-4 mm DRILL BIT,,NOS,8
143,143-STATIONARY-6 mm DRILL BIT,,NOS,0
144,144-STATIONARY-PERMANENT MARKER,,NOS,42
145,145-STATIONARY-BOARD MARKER,,NOS,3
146,146-STATIONARY-FLEX KWIK,,NOS,11
147,147-STATIONARY-2 RS PEN,,NOS,62
148,148-STATIONARY-10RS PEN BLUE,,NOS,8
149,149-STATIONARY-10RS PEN RED ,,NOS,2
150,150-STATIONARY-KNIFE BIG,,NOS,7
151,151-STATIONARY-KNIFE SMALL,,NOS,1
152,152-STATIONARY-KNIFE BLADE BOX,,BOX,7
153,153-STATIONARY-KNIFE BLADE SMALL,,BOX,2
154,154-STATIONARY-WHITNER,,NOS,3
155,155-STATIONARY-TESTER,,NOS,1
156,156-STATIONARY-ERASER,,NOS,22
157,157-STATIONARY-SHARPNER,,NOS,36
158,"158-STATIONARY-4""WOOD CUTTER WEEL BLADE",,NOS,7
159,159-STATIONARY-HINGES BIT35 MM,,NOS,2
160,160-908RRR RECLINER,,NOS,0
161,161-STATIONARY-SILVER REFILL,,NOS,40
162,162-STATIONARY-PUNCHING MACHINE SMALL,,NOS,0
163,163-STATIONARY-STAPLER MACHINE SMALL,,NOS,1
164,164-STATIONARY-INSTULATION TAPE,,NOS,5
165,165-STATIONARY-TALIER INCH TAPE,,NOS,11
166,166-STATIONARY-THREAD CUTTER,,NOS,9
167,167-STATIONARY-BLACK SPRAY,,NOS,0
168,168-STATIONARY-WHITE PENCIL,,NOS,44
169,169-STATIONARY-YELLOW PENCIL,,NOS,69
170,170-STATIONARY-GREEN ,,NOS,130
171,171-STATIONARY-BLACK PENCIL,,NOS,50
172,172-JIGSAW BLADE SET G/B 144,,NOS,28
173,173-PAUTIYA FITTING (BED AND SAPCE ),,SET,5
174,174-STATIONARY-HAMMER,,NOS,2
175,175-STATIONATY-GRINDING PAPER,,BUNDAL,2
176,176-C-SOFA LEG F007 15 CM(GOLD)KH,,NOS,20
177,177-MESUAREMENT TAPE,,NOS,4
